,2024/7/24,毎回データを　４行目以下に新規貼り付ける,,,
,IN,IN,IN,IN,IN
aoiName,Satname,observation_jst_time,offnadir_angl,looking_direction,flight_direction
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/18 4:50,38.687502,Left,Ascending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/18 6:23,19.988073,Right,Ascending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/18 6:23,42.095152,Right,Ascending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/18 6:23,19.117628,Right,Ascending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/18 6:23,30.616539,Right,Ascending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/18 6:23,32.27572,Right,Ascending
[AT] Tsukubamirai_Tokyo_LSM2,StriX-3,2024/6/18 7:56,22.844331,Right,Ascending
[AT] Railway_Mine_LSM2,StriX-3,2024/6/18 7:58,23.036676,Left,Ascending
[AT] Oita_Miyazaki_LSM2,StriX-3,2024/6/18 8:01,27.517468,Left,Ascending
[AT] AGRI_Ogata,StriX-3,2024/6/18 11:21,21.734721,Left,Ascending
[AT] Naka_Ryugasaki_LSM2,StriX-3,2024/6/18 12:53,33.908914,Left,Ascending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/18 18:02,19.92552,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/18 18:02,32.042512,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/18 18:03,38.978349,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/18 18:04,31.062279,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/18 18:04,41.583136,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/18 18:04,41.483205,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/18 18:04,33.853588,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/18 18:04,31.641528,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/18 18:04,34.464075,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/18 18:04,33.132231,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/18 18:04,34.987923,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/18 18:04,31.808026,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/18 18:04,37.327433,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/18 18:04,44.010138,Right,Descending
[AT] Oita_Miyazaki_LSM2,StriX-3,2024/6/18 21:14,15.927906,Left,Descending
[AT] AGRI_Ogata,StriX-3,2024/6/19 1:55,28.064438,Right,Descending
[AT] Saga_Hakata_LSM2,StriX-1,2024/6/19 1:58,41.253653,Left,Descending
[AT] AGRI_Ogata,StriX-3,2024/6/19 3:30,42.714653,Left,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/19 4:49,39.630329,Left,Ascending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/19 6:22,18.170653,Right,Ascending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/19 6:22,41.072492,Right,Ascending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/19 6:22,17.299733,Right,Ascending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/19 6:22,29.150831,Right,Ascending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/19 6:22,30.878935,Right,Ascending
[AT] Tsukubamirai_Tokyo_LSM2,StriX-3,2024/6/19 7:55,20.900175,Right,Ascending
[AT] Railway_Mine_LSM2,StriX-3,2024/6/19 7:57,24.769732,Left,Ascending
[AT] Oita_Miyazaki_LSM2,StriX-3,2024/6/19 8:00,28.903451,Left,Ascending
[AT] AGRI_Ogata,StriX-3,2024/6/19 11:20,22.379138,Left,Ascending
[AT] Naka_Ryugasaki_LSM2,StriX-3,2024/6/19 12:52,34.772665,Left,Ascending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/19 18:01,21.401339,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/19 18:01,33.209218,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/19 18:02,39.955955,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/19 18:03,32.353854,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/19 18:03,42.498196,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/19 18:03,42.405195,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/19 18:03,35.066997,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/19 18:03,32.933509,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/19 18:03,35.66415,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/19 18:03,36.170001,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/19 18:03,34.381022,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/19 18:03,33.105767,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/19 18:03,38.425581,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/19 18:04,44.865261,Right,Descending
[AT] AGRI_Ogata,StriX-3,2024/6/20 1:54,28.68054,Right,Descending
[AT] Saga_Hakata_LSM2,StriX-1,2024/6/20 1:57,40.534699,Left,Descending
[AT] AGRI_Ogata,StriX-3,2024/6/20 3:29,42.339854,Left,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/20 4:48,40.557743,Left,Ascending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/20 6:21,16.267939,Right,Ascending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/20 6:21,44.290587,Right,Ascending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/20 6:21,39.982808,Right,Ascending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/20 6:21,15.399193,Right,Ascending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/20 6:21,27.599743,Right,Ascending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/20 6:21,29.399174,Right,Ascending
[AT] Tsukubamirai_Tokyo_LSM2,StriX-3,2024/6/20 7:54,18.850047,Right,Ascending
[AT] Railway_Mine_LSM2,StriX-3,2024/6/20 7:56,26.481094,Left,Ascending
[AT] Oita_Miyazaki_LSM2,StriX-3,2024/6/20 7:59,30.271893,Left,Ascending
[AT] AGRI_Ogata,StriX-3,2024/6/20 11:19,23.026312,Left,Ascending
[AT] Naka_Ryugasaki_LSM2,StriX-3,2024/6/20 12:51,35.629185,Left,Ascending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/20 18:00,22.871918,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/20 18:00,34.36263,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/20 18:01,40.918795,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/20 18:02,33.627963,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/20 18:02,43.398089,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/20 18:02,43.311725,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/20 18:02,36.261553,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/20 18:02,34.206578,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/20 18:02,36.84532,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/20 18:02,35.610683,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/20 18:02,37.333142,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/20 18:02,34.384379,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/20 18:02,39.505192,Right,Descending
[AT] AGRI_Ogata,StriX-3,2024/6/21 1:53,29.301163,Right,Descending
[AT] Saga_Hakata_LSM2,StriX-1,2024/6/21 1:56,39.781294,Left,Descending
[AT] AGRI_Ogata,StriX-3,2024/6/21 3:28,41.950952,Left,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/21 4:47,41.469532,Left,Ascending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/21 6:20,43.310848,Right,Ascending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/21 6:20,38.820591,Right,Ascending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/21 6:20,25.958831,Right,Ascending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/21 6:21,27.831456,Right,Ascending
[AT] Tsukubamirai_Tokyo_LSM2,StriX-3,2024/6/21 7:53,16.692012,Right,Ascending
[AT] Railway_Mine_LSM2,StriX-3,2024/6/21 7:56,28.167471,Left,Ascending
[AT] Oita_Miyazaki_LSM2,StriX-3,2024/6/21 7:58,31.62123,Left,Ascending
[AT] AGRI_Ogata,StriX-3,2024/6/21 11:18,23.676474,Left,Ascending
[AT] Naka_Ryugasaki_LSM2,StriX-3,2024/6/21 12:50,36.47784,Left,Ascending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/21 17:59,24.33564,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/21 17:59,35.501377,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/21 18:00,41.866286,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/21 18:01,34.882876,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/21 18:01,44.282316,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/21 18:01,44.202381,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/21 18:01,37.436471,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/21 18:01,35.459766,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/21 18:01,38.006315,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/21 18:01,36.819825,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/21 18:01,38.476159,Right,Descending
